.html	.txt
2	8
5	8
1	1
1	1
1	1
2	1
2	1
2	1
2	1
2	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
2	1
1	1
2	1
1	1
1	1
1	1
1	1
1	1
2	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
1	1
2	2
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
3	2
1	23
210	2
106	2
106	2
105	5
104	1
203	30
106	2
106	2
9	1
103	1
103	1
103	4
103	1
101	1
