.cc	.js
1	2
16	5
2	1
216	234
18	6
1	1
1	14
1	1
1	1
133	63
27	2
293	570
1	2
1	2
1	2
2	3
1	1
2	3
1	1
2	3
1	1
1	3
2	1
1	2
1	3
1	2
1	1
1	1
1	2
2	2
2	4
1	1
1	1
2	3
23	6
1	2
1	2
4	1
4	5
1	2
1	2
1	1
2	6
2	1
1	2
1	1
1	4
8	5
3	2
1	1
1	2
1	1
1	2
1	1
1	1
1	1
18	4
1	1
1	2
213	93
1	1
1	5
3	7
1	1
3	4
11	7
1	1
1	1
1	2
1	2
1	2
1	2
1	3
1	1
223	67
1	1
1	1
1	1
1	5
1	2
1	2
1	2
1	1
11	4
11	3
1	3
11	3
1	1
27	10
1	1
1	1
1	2
1	2
23	1
1	1
1	2
1	2
1	1
1	1
1	1
1	10
1	1
1	1
1	3
55	23
1	1
1	3
3	24
2	1
1	1
1	1
1	3
1	1
1	1
101	38
1	1
1	1
2	2
1	1
1	2
1	1
2	2
1	1
1	2
1	1
1	1
2	1
48	73
1	3
93	89
1	2
