.cc	.txt
7	19
102	1
4	10
253	1
246	1
1	1
245	1
2	1
1	1
1	1
32	1
1	5
78	1
42	1
42	1
22	1
98	1
2	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
1	1
1	1
1	1
1	1
1	1
3	1
1	1
1	1
1	1
2	1
1	1
1	1
1	1
1	1
1	1
2	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
2	1
1	1
2	1
1	1
1	2
1	1
1	1
1	1
1	1
1	1
3	1
7	1
2	1
3	1
1	1
1	1
1	1
4	1
1	1
56	1
1	1
1	1
124	1
143	2
1	1
2	23
